w,x
"""",PUNCT
Serangan,NOUN
terhadap,VERB
Iran,PROPN
akan,AUX/ADP
menjadi,VERB
bencana,NOUN
dan,CCONJ
mendorongnya,_
mendorong,VERB
nya,PRON
mengembangkan,VERB
bom,NOUN
nuklir,NOUN
",",PUNCT
"""",PUNCT
kata,NOUN
Mohamed,PROPN
ElBaradei,PROPN
",",PUNCT
Direktur,PROPN
Jenderal,PROPN
Badan,PROPN
Tenaga,PROPN
Atom,PROPN
Internasional,PROPN
(,PUNCT
IAEA,PROPN
),PUNCT
",",PUNCT
Kamis,PROPN
.,PUNCT
"""",PUNCT
Itu,PROPN
sama,ADJ/CCONJ
sekali,ADV/DET
kontra-produktif,X
",",PUNCT
dan,CCONJ
itu,PRON/DET
akan,AUX/ADP
menjadi,VERB
bencana,NOUN
",",PUNCT
"""",PUNCT
kata,NOUN
ElBaradei,PROPN
pada,ADP
pembahasan,NOUN
mengenai,VERB
penyebaran,NOUN
nuklir,NOUN
di,ADP
Forum,PROPN
Ekonomi,PROPN
Dunia,PROPN
.,PUNCT
Pemerintah,PROPN
AS,PROPN
",",PUNCT
pimpinan,NOUN
Presiden,PROPN
George,PROPN
W,PROPN
.,PUNCT
Bush,PROPN
",",PUNCT
dalam,ADP/NOUN/ADJ
beberapa,DET
pekan,NOUN/VERB
belakangan,NOUN
telah,AUX
meningkatkan,VERB
pendiriannya,_
pendirian,NOUN/NOUN
nya,DET/PRON
terhadap,VERB
Iran,PROPN
",",PUNCT
yang,PRON/SCONJ
telah,AUX
dituduh,VERB
Barat,PROPN
secara,DET
diam-diam,ADJ/VERB
sedang,AUX/ADV/ADJ
berusaha,VERB
membuat,VERB
bom,NOUN
atom,NOUN
",",PUNCT
sehingga,SCONJ
meningkatkan,VERB
kekhawatiran,NOUN
di,ADP
kalangan,X
pemimpin,NOUN
usaha,NOUN
dan,CCONJ
politik,NOUN
bahwa,SCONJ
AS,PROPN
berencana,VERB
melancarkan,VERB
serangan,NOUN
.,PUNCT
Presiden,PROPN
Bush,PROPN
telah,AUX
mengerahkan,VERB
kapal,NOUN
induk,NOUN
tambahan,NOUN
ke,ADP
Teluk,PROPN
dan,CCONJ
memberi,VERB
tahu,NOUN/VERB
Iran,PROPN
bahwa,SCONJ
ia,PRON
tak,PART
kan,X
membiarkan,VERB
negeri,NOUN
itu,PRON/DET
menyediakan,VERB
senjata,NOUN
dan,CCONJ
dukungan,NOUN
kepada,ADP
kelompok,NOUN
perlawanan,NOUN
di,ADP
Irak,PROPN
.,PUNCT
Israel,PROPN
telah,AUX
menolak,VERB
untuk,SCONJ/ADP
mengesampingkan,X
aksi,NOUN
militer,NOUN
untuk,SCONJ/ADP
mendahului,X
terhadap,VERB
Iran,PROPN
sejalan,DET
dengan,ADP
serangan,NOUN
udaranya,_
udara,NOUN/NOUN
nya,DET/PRON
1981,NUM
terhadap,VERB
satu,NUM
reaktor,NOUN
atom,NOUN
di,ADP
Irak,PROPN
",",PUNCT
kendati,SCONJ
banyak,DET/ADJ
pengulas,NOUN
percaya,VERB
instalasi,NOUN
nuklir,NOUN
Iran,PROPN
terlalu,ADV/VERB
besar,ADJ
untuk,SCONJ/ADP
dirusak,X
oleh,ADP
Israel,PROPN
sendirian,NOUN
saja,ADV
.,PUNCT
PBB,PROPN
memberlakukan,X
sanksi,NOUN
pada,ADP
Desember,PROPN
guna,NOUN
mencegah,VERB
Iran,PROPN
menggunakan,VERB
program,NOUN
energi,NOUN
nuklirnya,_
nuklir,NOUN/NOUN
nya,PRON/DET
untuk,SCONJ/ADP
membuat,VERB
senjata,NOUN
militer,NOUN
",",PUNCT
dan,CCONJ
Iran,PROPN
pekan,NOUN/VERB
ini,DET/PRON
melarang,VERB
38,NUM
pemeriksa,NOUN
nuklir,NOUN
IAEA,PROPN
.,PUNCT
ElBaradei,PROPN
",",PUNCT
pemimpin,NOUN
badan,NOUN
pengawas,NOUN
nuklir,NOUN
PBB,PROPN
",",PUNCT
telah,AUX
mengadakan,VERB
pembicaraan,NOUN
di,ADP
Davos,PROPN
",",PUNCT
Swiss,PROPN
",",PUNCT
pada,ADP
pertemuan,NOUN
pemimpin,NOUN
usaha,NOUN
dan,CCONJ
politik,NOUN
dunia,NOUN
.,PUNCT
Ia,PROPN
mengatakan,VERB
diplomasi,NOUN
adalah,AUX
satu-satunya,NUM
cara,NOUN
untuk,SCONJ/ADP
maju,VERB
",",PUNCT
dan,CCONJ
pembicaraan,NOUN
mengenai,VERB
aksi,NOUN
militer,NOUN
hanya,ADV
dapat,AUX/VERB
menjadi,VERB
kemunduran,NOUN
.,PUNCT
"""",PUNCT
Ini,PROPN
memperkuat,VERB
tangan,NOUN
mereka,VERB/PRON
di,ADP
Iran,PROPN
yang,PRON/SCONJ
mengatakan,VERB
',PUNCT
mari,VERB/INTJ
buat,VERB
bom,NOUN
untuk,SCONJ/ADP
melindungi,VERB
diri,NOUN/PRON
kita,PRON
',PUNCT
",",PUNCT
"""",PUNCT
katanya,_
kata,NOUN/NOUN
nya,DET/PRON
.,PUNCT
Pemerintah,PROPN
Bush,PROPN
telah,AUX
mengatakan,VERB
mengingini,VERB
penyelesaian,X
diplomatik,NOUN
dan,CCONJ
tidak,PART
sedang,AUX/ADV/ADJ
mempersiapkan,VERB
diri,NOUN/PRON
untuk,SCONJ/ADP
menyerang,VERB
Iran,PROPN
atau,CCONJ
Suriah,PROPN
.,PUNCT
Perdana,PROPN
Menteri,PROPN
Pakistan,PROPN
Shaukat,PROPN
Aziz,PROPN
juga,ADV
memperingatkan,VERB
negara,NOUN
Barat,PROPN
agar,SCONJ
tidak,PART
menyerang,VERB
Iran,PROPN
",",PUNCT
sementara,SCONJ/ADV
mantan,NOUN
presiden,NOUN
Iran,PROPN
Mohammad,PROPN
Khatami,PROPN
mendesak,VERB
semua,DET
pihak,NOUN
agar,SCONJ
meredakan,VERB
ketegangan,NOUN
mengenai,VERB
program,NOUN
nuklir,NOUN
Iran,PROPN
.,PUNCT
"""",PUNCT
Jika,PROPN
terjadi,VERB
aksi,NOUN
militer,NOUN
",",PUNCT
itu,PRON/DET
akan,AUX/ADP
memiliki,VERB
akibat,ADP/NOUN
berupa,VERB
bencana,NOUN
",",PUNCT
bukan,PART
hanya,ADV
di,ADP
wilayah,NOUN
tersebut,VERB
",",PUNCT
tapi,CCONJ
seluruh,DET/ADJ
dunia,NOUN
",",PUNCT
"""",PUNCT
kata,NOUN
Aziz,PROPN
.,PUNCT
Saya,PROPN
berharap,VERB
mereka,VERB/PRON
cukup,ADJ/ADV
baik,ADJ
dalam,ADP/NOUN/ADJ
menangani,VERB
keadaan,NOUN
.,PUNCT
"""",PUNCT
Kita,PROPN
perlu,ADV/VERB
sangat,ADV
bersabar,VERB
dan,CCONJ
memahami,VERB
dan,CCONJ
tidak,PART
terlalu,ADV/VERB
emosional,ADJ
",",PUNCT
"""",PUNCT
kata,NOUN
Khatami,PROPN
.,PUNCT
